id,name,url,image_url,image_name,genre,starring,num_episodes,release_year,plot,rating
991,Smile Again (2006 TV series),https://en.wikipedia.org/wiki/Smile_Again_(2006_TV_series),,,"Romance, Drama","Kim Hee-sun, Lee Dong-gun, Lee Jin-wook",16,2006,,6.9
992,Smile Again (2010 TV series),https://en.wikipedia.org/wiki/Smile_Again_(2010_TV_series),https://upload.wikimedia.org/wikipedia/en/7/79/Smiledonghae-poster.jpg,992.jpg,"Romance, Drama","Ji Chang-wook, Do Ji-won, Oh Ji-eun, Park Jung-ah",159,2010,"Raised in America by his mentally handicapped mother Anna, Dong Hae dreams of traveling to Korea to propose to the woman he loves. After qualifying for a speed skating competition, he smuggles his mother to Korea with him, but his undying devotion to her soon begins causing him problems. Finally reconnecting with his lost love Saewa, Dong Hae finds his affections divided when things don't work out as he planned in this award-winning daily drama.",9.2
993,Snow Flower (TV series),https://en.wikipedia.org/wiki/Snow_Flower_(TV_series),https://upload.wikimedia.org/wikipedia/en/a/a0/Snow_Flower_%28TV_series%29-poster.jpg,993.jpg,,"Kim Hee-ae, Go Ara, Lee Jae-ryong, Kim Kibum",16,2006,"A terminally ill girl, who dreams of going to Finland to see the northern lights, falls in love.",6.2
994,Snowdrop (South Korean TV series),https://en.wikipedia.org/wiki/Snowdrop_(South_Korean_TV_series),,,"Satire, Melodrama, Dark Comedy, Romance","Jung Hae-in, Jisoo, Kim Ji-soo, Yoo In-na, Jang Seung-jo, Yoon Se-ah, Kim Hye-yoon, Jung Yoo-jin",16,2021,"""Snowdrop"" is known to be based on the handwritten notes of a man who escaped from a political prison camp in North Korea. Set in 1987, when South Korea was governed by a dictatorial government.",N/A
995,So I Married an Anti-fan (TV series),https://en.wikipedia.org/wiki/So_I_Married_an_Anti-fan_(TV_series),https://upload.wikimedia.org/wikipedia/en/7/78/So_I_Married_an_Anti-fan_TV_series.jpg,995.jpg,Romantic comedy,"Choi Tae-joon, Choi Soo-young, Hwang Chan-sung, Han Ji-an",,2021,"The story is about a female reporter who marries a male celebrity after previously hating him and becoming an anti-fan, the polar opposite of a fan.",5.9
996,So Not Worth It,https://en.wikipedia.org/wiki/So_Not_Worth_It,,,Sitcom,"Park Se-wan, Shin Hyun-seung, Choi Young-jae, Minnie, Minnie, Han Hyun-min",,2021,The adventures of students with multicultural backgrounds who live in a college dorm.,N/A
997,Solomon's Perjury (TV series),https://en.wikipedia.org/wiki/Solomon's_Perjury_(TV_series),https://upload.wikimedia.org/wikipedia/en/e/ee/Solomon%27s_Perjury_%28TV_series%29_Poster.jpg,997.jpg,"Suspense, Mystery, Teen","Kim Hyun-soo, Kim Hyun-soo, Jang Dong-yoon, Seo Ji-hoon, Cho Jae-hyun, Seo Young-joo",12,2016,A male student's body is found at school. Authorities assume that the student killed himself in a fall. Other students at the school hold a trial to uncover the truth behind his death.,7.5
998,Someday (TV series),https://en.wikipedia.org/wiki/Someday_(TV_series),https://upload.wikimedia.org/wikipedia/en/8/87/Someday_Poster.jpg,998.jpg,Romance,"Bae Doona, Kim Min-joon, Lee Jin-wook, Oh Yoon-ah",16,2006,"The film follows two strangers who meet on a 14-hr flight from Sydney to Los Angeles. Adam is a world-famous composer but Melody doesn't recognize her flight companion seated next to her. Along the way they pour their hearts out, forging a connection that is more beautiful, precisely because of its simple, fleeting nature.::J S Mayank",7.2
999,Something About 1%,https://en.wikipedia.org/wiki/Something_About_1%,https://upload.wikimedia.org/wikipedia/en/e/ec/1%25_of_Anything_%282003_TV_series%29.jpg,999.jpg,Drama,,26,2003,"A kind school teacher suddenly becomes heir to a large company on the condition she marries the owner's grandson. As she is interested in neither, they make a deal that if they manage to date for a full six months, he will inherit instead.::Dama del Puente",7.7
1000,Something About 1 Percent,https://en.wikipedia.org/wiki/Something_About_1_Percent,https://upload.wikimedia.org/wikipedia/en/d/d3/1_Percent_Of_Anything_Poster.jpg,1000.jpg,"Romance, Comedy","Ha Seok-jin, Jeon So-min",16,2016,"A kind school teacher suddenly becomes heir to a large company on the condition she marries the owner's grandson. As she is interested in neither, they make a deal that if they manage to date for a full six months, he will inherit instead.::Dama del Puente",7.7
1001,Something Happened in Bali,https://en.wikipedia.org/wiki/Something_Happened_in_Bali,https://upload.wikimedia.org/wikipedia/en/c/cd/Something_Happened_in_Bali-poster.jpg,1001.jpg,"Romance, Melodrama","Ha Ji-won, Jo In-sung, So Ji-sub, Park Ye-jin",20,2004,"An educational film about AIDS contracted by the Swedish National Board of Health and Welfare, later to be withdrawn due to its controversial content.",7.6
1002,Something in the Rain,https://en.wikipedia.org/wiki/Something_in_the_Rain,https://upload.wikimedia.org/wikipedia/en/0/07/Something_in_the_Rain.jpg,1002.jpg,Romance,"Son Ye-jin, Jung Hae-in",16,2018,"Yoon Jin Ah is a woman in her mid-30s who doesn't know yet what it's like to date a man. She's been dumped by a man many times because of her clumsy, reckless and foolish behavior. And again, a man she wanted to marry dumps her for the worst reason ever: that she's like bland, tasteless devil's-tongue jelly, which means she's not attractive at all as a woman. Just then, Joon Hee appears before her with a broad smile on his face. He's as refreshing as a soft drink. Joon Hee is Jin Ah's childhood best friend's younger brother, who used to live next door. Jin Ah has always remembered him as a little kid, but one day, he comes back as a really masculine man. When she is surprised by his change, her gut feeling tells her that she would truly fall in love this time.",8.1
1003,Songgot: The Piercer,https://en.wikipedia.org/wiki/Songgot:_The_Piercer,https://upload.wikimedia.org/wikipedia/en/5/54/Songgot_The_Piercer.jpg,1003.jpg,Drama,"Ji Hyun-woo, Ahn Nae-sang",12,2015,,N/A
1004,Soul (TV series),https://en.wikipedia.org/wiki/Soul_(TV_series),https://upload.wikimedia.org/wikipedia/en/d/d4/Soul-poster.jpg,1004.jpg,"Horror, Crime, Romance","Lee Seo-jin, Lim Ju-eun",10,2009,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.::Liam Wilhelm",8.1
1005,Soul Mechanic,https://en.wikipedia.org/wiki/Soul_Mechanic,https://upload.wikimedia.org/wikipedia/en/8/89/Soul_Mechanic.jpg,1005.jpg,Medical,"Shin Ha-kyun, Jung So-min, Tae In-ho, Park Ye-jin",32,2020,"""Soul Mechanic"" follows psychiatrists as they try to cure people of their emotional wounds.",7.3
1006,Special Affairs Team TEN,https://en.wikipedia.org/wiki/Special_Affairs_Team_TEN,https://upload.wikimedia.org/wikipedia/en/f/ff/Special_Affairs_Team_TEN.jpg,1006.jpg,"Police procedural, Crime, Mystery, Thriller","Joo Sang-wook, Jo An, Kim Sang-ho, Choi Woo-shik",,2011,"A police task force is formed in Seoul to investigate heinous crimes such as serial killers and kidnappers. The four members are the tactless but brilliant leader, the street smart veteran detective, a young and naive data analyst, and a female cop whose instincts are informed by the victim's or perpetrator's homes. The definition of an investigative police procedural.::Matthew Weaver",8.4
1007,Special Labor Inspector,https://en.wikipedia.org/wiki/Special_Labor_Inspector,https://upload.wikimedia.org/wikipedia/en/5/5e/Special_Labor_Inspector_Jo.jpg,1007.jpg,"Social satire, Action, Comedy","Kim Dong-wook, Park Se-young, Ryu Deok-hwan, Kim Kyung-nam",32,2019,The series follows the story of a civil servant who is appointed as a labor inspector in the Ministry of Employment and Labor.,7.7
1008,Splash Splash Love,https://en.wikipedia.org/wiki/Splash_Splash_Love,https://upload.wikimedia.org/wikipedia/en/c/c4/Splash_Splash_Love.jpg,1008.jpg,"Fantasy, Romance, Time slip","Kim Seul-gi, Yoon Doo-joon",2,2015,"A high school student (Dan Bi) escapes from her time to the Joseon Era, where she has to prove her knowledge to survive.",7.8
1009,Splendid Politics,https://en.wikipedia.org/wiki/Splendid_Politics,https://upload.wikimedia.org/wikipedia/en/3/34/Splendid_Politics_%28%ED%99%94%EC%A0%95_-_Hwajung%29_Promotional_Poster.jpg,1009.jpg,"Historical, Politics, Romance","Cha Seung-won, Lee Yeon-hee, Kim Jaewon, Seo Kang-joon, Han Joo-wan, Jo Sung-ha",50,2015,Hwajung: Princess of Light,7.5
1010,Spotlight (South Korean TV series),https://en.wikipedia.org/wiki/Spotlight_(South_Korean_TV_series),https://upload.wikimedia.org/wikipedia/en/3/37/MBC_Spotlight.jpg,1010.jpg,"Workplace, Drama","Son Ye-jin, Ji Jin-hee, Jo Yoon-hee, Jin Goo",16,2008,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",8.1
1011,Spring Day (TV series),https://en.wikipedia.org/wiki/Spring_Day_(TV_series),https://upload.wikimedia.org/wikipedia/en/7/71/Spring_Day_%28TV_series%29-poster.jpg,1011.jpg,"Romance, Drama","Go Hyun-jung, Jo In-sung, Ji Jin-hee",20,2005,Two parallel situation interlinked together in a very strange house.::Anonymous,N/A
1012,Spring Turns to Spring,https://en.wikipedia.org/wiki/Spring_Turns_to_Spring,https://upload.wikimedia.org/wikipedia/en/e/e0/Spring_Turns_to_Spring.jpg,1012.jpg,"Comedy, Fantasy","Lee Yoo-ri, Uhm Ji-won, Lee Jong-hyuk, Choi Byung-mo",32,2019,"Kim Bo Mi works as a TV news anchorwoman and she only cares about herself. Lee Bom was once a popular actress, but she is now a lawmaker's wife. She focuses only on taking care of her family. Somehow these two women switch bodies.",6.9
1013,Spring Waltz,https://en.wikipedia.org/wiki/Spring_Waltz,https://upload.wikimedia.org/wikipedia/en/d/dc/Spring-waltz-poster.jpg,1013.jpg,"Romance, Melodrama","Seo Do-young, Han Hyo-joo, Daniel Henney, Lee So-yeon, Lee So-yeon",20,2006,Yoon Jae-ha and Park Eun-young meet again after losing touch for 15 years.::Anonymouse,7.9
1014,Spy (2015 TV series),https://en.wikipedia.org/wiki/Spy_(2015_TV_series),https://upload.wikimedia.org/wikipedia/en/4/4f/Spy_%28%EC%8A%A4%ED%8C%8C%EC%9D%B4%29_Promotional_Poster.jpg,1014.jpg,"Thriller, Action, Romance, Family","Kim Jae-joong, Bae Jong-ok, Yu Oh-seong, Ko Sung-hee",16,2015,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.::Miss W J Mcdermott",7.0
1015,Spy Myung-wol,https://en.wikipedia.org/wiki/Spy_Myung-wol,https://upload.wikimedia.org/wikipedia/en/4/47/Spy_Myung-wol-poster.jpg,1015.jpg,"Action, Romance, Drama","Han Ye-seul, Eric Mun, Lee Jin-wook",18,2011,"In the romantic-comedy ""Spy Myeong-Wol,"" beautiful North Korean spy Myeong-Wol goes to South Korea in an attempt to kidnap a popular Korean male entertainer Kang Woo. Han Myeong-Wol is an agent in North Korea working to suppress the rising wave of South Korean pop culture in North Korea. She goes after people who watch South Korean dramas, movies, or pop music, but she hopes to one day move up as an agent in the special forces. Myeong-Wol then takes a test to become a special agent, but fails the test. Nevertheless, Myeong-Wol doesn't give up her hope of becoming a special agent just like her father. Myeong-Wol is then given a mission to go to Singapore as the bodyguard for a high ranking military officer's daughter. The daughter is crazy about Korean pop star Kang Woo and goes specifically to Singapore to watch his concert. The daughter is accompanied to Singapore by Myeong-Wol and the chief of special agent team Choi Ryu. After the concert, the military officer's daughter asks Myeong-Wol to get Kang-Woo's autograph. Myeong-Wol obliging the daughter, follows Kang-Woo but finds it difficult to obtain his autograph. Kang Woo brushes off Myeong-Wol and states he doesn't give autographs in the public. Finally, Myeong-Wol sneaks into a masked auction event where Kang-Woo participates. Kang Woo buys an old book that is part of a 4 book collection. Meanwhile, Myeong-Wol goes near Kang Woo to get his autograph. At that time, 3 masked men attack Kang Woo to get the book. Myeong-Wol thwarts the 3 masked men's attempt by throwing a pen. When Han Myeong-Wol goes back to North Korea she meets with the chief of special agents Choi Ryu. Choi Ryu informs Myeong-Wol that he won't pick her for the special agent team. At that moment, Myeong-Wol notices the pen she threw at the masked auction event in Singapore. Myeong-Wol then realizes that she ruined their mission. Myeong-Wol then decides to go to South Korea to complete their miss",6.9
1016,Squad 38,https://en.wikipedia.org/wiki/Squad_38,https://upload.wikimedia.org/wikipedia/en/8/81/38_Revenue_Collection_Unit_Poster.jpg,1016.jpg,"Revenge, Crime","Ma Dong-seok, Seo In-guk, Choi Soo-young, Sooyoung",16,2016,The task force chief of Seoul City Hall and a con man work together to collect taxes from those who avoid paying large amounts.::Chris Green,7.9
1017,Stained Glass (TV series),https://en.wikipedia.org/wiki/Stained_Glass_(TV_series),https://upload.wikimedia.org/wikipedia/en/2/2e/Stained_Glass-poster.jpg,1017.jpg,"Romance, Melodrama","Lee Dong-gun, Kim Ha-neul, Kim Sung-soo",18,2004,"Jonathan Dunn's marriage is on the rocks. He's working a dead end job, and is convinced that things cannot get worse. Until a phone call from a stranger proves him wrong.",3.9
1018,Stairway to Heaven (South Korean TV series),https://en.wikipedia.org/wiki/Stairway_to_Heaven_(South_Korean_TV_series),https://upload.wikimedia.org/wikipedia/en/6/63/Stairway_to_Heaven-poster.jpg,1018.jpg,"Romance, Melodrama","Choi Ji-woo, Kwon Sang-woo, Kim Tae-hee, Shin Hyun-joon",20,2003,A British wartime aviator who cheats death must argue for his life before a celestial court.::Eugene Kim <genekim@concentric.net>,8.1
1019,Standby (TV series),https://en.wikipedia.org/wiki/Standby_(TV_series),https://upload.wikimedia.org/wikipedia/en/4/40/Standby_%28TV_series%29_poster.jpeg,1019.jpeg,Sitcom,"Ryu Jin, Lee Ki-woo, Ha Seok-jin",120,2012,"Twenty-something Alan (Gleeson) is down on his luck. Stood up at the altar and recently fired from his banking job, he finds himself working with his mother as a part-time tourist advisor at Dublin Airport. It's there he comes face to face with first love Alice (Paré), stuck on standby for a flight home to New York. Their summer romance ended eight years previously with Alan promising to return to the US one day. He never did, and they haven't spoken since. Seizing his chance, Alan convinces a reluctant Alice to stay one more night in Dublin. Over the course of an unforgettable evening, they may just realise that they are more compatible than ever. But time is running out on this brief encounter. When does an unexpected second chance, become the one you've always been looking for?::Wildcard Distribution",5.8
1020,Star's Echo,https://en.wikipedia.org/wiki/Star's_Echo,https://upload.wikimedia.org/wikipedia/en/5/56/Star%27sEcho_Poster.jpg,1020.jpg,Romance,"Jo Hyun-jae, Nakagoshi Noriko, Lee Da-hae, Lee Joon-gi, Kurotani Tomoka",2,2004,"The story is centered on the love between a musically gifted South Korean man, Sung-jae Jo Hyun Jae, and a Japanese woman, Misaki Nakagoshi Noriko. Misaki, who feels guilty over her boyfriend's death, is transferred to Korean and meets Seong-jae who helps her cure her wounds of the past memories with love.",N/A
1021,Star's Lover,https://en.wikipedia.org/wiki/Star's_Lover,https://upload.wikimedia.org/wikipedia/en/f/ff/StarsLover-poster.jpg,1021.jpg,"Romance, Drama","Choi Ji-woo, Yoo Ji-tae",20,2008,"Star's Lover is a warm-hearted tale of a woman being pursued by four men. When bookish university professor Kim Chul Soo runs out of money and is forced to accept help from his ex-girlfriend, he will do anything to pay her back. Opportunity knocks in the form of a ghostwriting offer from the management agency of Lee Ma Ri, the most popular actress in Korea. Caught between his convictions and his need for money, Chul Soo reluctantly agrees. The travel diary he writes under Ma Ri's name becomes an instant bestseller, but it ends up bringing her some unwanted attention from a famous photographer. Afraid she'll be discovered for not writing the book, Ma Ri commissions Chul Soo to coach her in Japanese culture and travel as more suitors fall into place. Ma Ri and Chul Soo grow closer, and soon Ma Ri finds herself caught between four men.",6.9
1022,Star in My Heart,https://en.wikipedia.org/wiki/Star_in_My_Heart,https://upload.wikimedia.org/wikipedia/en/d/d7/Korean_TV_drama-Star_in_My_Heart-01.jpg,1022.jpg,,"Choi Jin-sil, Ahn Jae-wook, Cha In-pyo",16,1997,"An orphan is adopted into a hostile family environment. She harbors an undiscovered artistic talent, which helps to catapult her into the lives of two men.::Anonymous",7.4
1023,Stars Falling from the Sky,https://en.wikipedia.org/wiki/Stars_Falling_from_the_Sky,https://upload.wikimedia.org/wikipedia/en/6/6e/Stars_Falling_From_the_Sky_Poster.jpg,1023.jpg,"Romance, Comedy, Drama","Choi Jung-won, Kim Ji-hoon",20,2010,"The drama draws a love story between two co-workers at an insurance company, with Kim Ji Hoon playing the company's whip-smart lawyer. Because he carries the hurt of having been abandoned by his birth mother, he doesn't easily open his heart to others. Jin Pal Kang (Choi Jung Won) is a 25-year-old employee of the company who becomes responsible for her five younger adopted siblings after her parents meet with sudden deaths.::DramaWiki",7.5
1024,Start-Up (South Korean TV series),https://en.wikipedia.org/wiki/Start-Up_(South_Korean_TV_series),https://upload.wikimedia.org/wikipedia/en/1/12/Start-Up_2020.jpg,1024.jpg,"Romance, Drama","Bae Suzy, Nam Joo-hyuk, Kim Seon-ho, Kang Han-na",16,2020,Young entrepreneurs aspiring to launch virtual dreams into reality compete for success and love in the cutthroat world of Korea's high-tech industry.::Netflix,8.1
1025,Steal Heart,https://en.wikipedia.org/wiki/Steal_Heart,https://upload.wikimedia.org/wikipedia/en/8/8b/Yoo-na%27s_Street-poster.jpg,1025.jpg,"Romance, Comedy, Family, Crime","Kim Ok-bin, Lee Hee-joon",50,2014,A family man's chance encounter with a conspiracy-obsessed drifter leaves him on the run from the police and an impending event known as the Inversion.,6.1
1026,Still 17,https://en.wikipedia.org/wiki/Still_17,https://upload.wikimedia.org/wikipedia/en/4/45/Still_17-poster.jpg,1026.jpg,Romantic comedy,"Shin Hye-sun, Yang Se-jong, Ahn Hyo-seop",32,2018,"Woo Seo Ri, a violin prodigy at 17 who was about to study in Germany, got into a bus accident and fell into a coma waking up 13 years later. Mentally she is still only 17, while physically she is now 30. Due to a trauma he experienced 13 years before, Gong Woo Jin does not want to have a relationship with others. This series is about a man and a woman whose lives in their own ways essentially stopped when they were 17. Together, they use all their might to try and open the door to the happiness that they once thought had been closed to them.::MyDramaList",7.8
1027,Still You,https://en.wikipedia.org/wiki/Still_You,https://upload.wikimedia.org/wikipedia/en/2/25/Stillyou-poster.jpg,1027.jpg,"Romance, Melodrama, Family","Shin Eun-kyung, Kim Seung-soo, Wang Bit-na, Song Jae-hee",124,2012,,N/A
1028,Stranger (TV series),https://en.wikipedia.org/wiki/Stranger_(TV_series),https://upload.wikimedia.org/wikipedia/en/d/d8/Stranger_Poster.jpg,1028.jpg,"Crime, Drama, Thriller","Cho Seung-woo, Bae Doona, Lee Joon-hyuk, Yoo Jae-myung, Shin Hye-sun, Jeon Hye-jin, Choi Moo-sung, Yoon Se-ah",32,2017,"With the help of a gutsy female detective, a prosecutor who has almost lost the ability to feel emotions tackles a strange murder case amid political corruption.::Netflix",8.6
1029,Strangers 6,https://en.wikipedia.org/wiki/Strangers_6,https://upload.wikimedia.org/wikipedia/en/3/30/Strangers_6_poster.jpg,1029.jpg,"Action, Suspense","Toshiaki Karasawa, Oh Ji-ho, Kim Hyo-jin, Masaya Kikawada, Bowie Lam",15,2012,,3.1
1030,Strong Woman Do Bong-soon,https://en.wikipedia.org/wiki/Strong_Girl_Bong-soon,https://upload.wikimedia.org/wikipedia/en/2/28/StrongWomanDoBong-soon_%28Main_poster%29.jpg,1030.jpg,"Fantasy, Thriller, Action, Romantic comedy","Park Bo-young, Park Hyung-sik, Ji Soo",17,2017,"Do Bong-soon is a woman born with superhuman strength that comes from the long line of women possessing it. when Ahn Min Hyuk, the CEO of ainsoft, a gaming company witnesses her strength he hires her as his personal bodyguard.",8.2
1031,Strongest Chil Woo,https://en.wikipedia.org/wiki/Strongest_Chil_Woo,https://upload.wikimedia.org/wikipedia/en/9/93/Strongest_Chil_Woo-poster.jpg,1031.jpg,"Historical, Action","Eric Mun, Ku Hye-sun, Yoo Ah-in, Lee Eon, Kim Byul",20,2008,"Kang Chil Woo was a lowly police officer during the Joseon era. His parents were killed in a raid and his main goal was to stay below the radar to survive. However when his sister was killed, his outlook on life was forever changed and in seeking revenge, he turned into an assassin and began to mete out justice to criminals.::DramaWiki",7.0
1032,Strongest Deliveryman,https://en.wikipedia.org/wiki/Strongest_Deliveryman,https://upload.wikimedia.org/wikipedia/en/f/f8/StrongestDeliverymanposter.jpg,1032.jpg,"Slice of life, Drama, Romance","Go Kyung-pyo, Chae Soo-bin, Kim Seon-ho, Ko Won-hee",16,2017,"Choi Kang Soo is a deliveryman. In spite of his humble beginnings, Choi Kang Soo is fearless and gives it all in everything he does. Lee Dan Ah is another delivery worker. She hates her current socioeconomic status so much that she, like many young people, calls her country ""Hell Joseon."" Lee Dan Ah is so focused on making money and changing her life that she has no time for men. Butwhen she comes across the charming Choi Kang Soo, her attitude is due to be moved. Together, Choi Kang Soo and Lee Dan Ah have a budding competition and romance in their quest for glory. And, for them, glory means being like rich folk Lee Jin Yoon and Oh Jin Gyu. They compete to conquer life but, as our two delivery workers soon learn, being the strongest does not guarantee success.",7.3
1033,Style (TV series),https://en.wikipedia.org/wiki/Style_(TV_series),https://upload.wikimedia.org/wikipedia/en/9/94/Style_Poster.png,1033.png,"Romance, Drama","Kim Hye-soo, Lee Ji-ah, Ryu Si-won, Lee Yong-woo",16,2009,"Loyalty, Respect, commitment and love. What is Love? Loyalty, respect, commitment and friendship. Friendship and Love... Love and Friendship... So much in common, yet so different in emotion!::Mustafa Popal",5.3
